nm_ema;fc_obsrvcion;tmp_mxma;tmp_mnma;hmd_rel_mdia;rdcion_slar
Bugalagrande;2011-01-01;31.4;18.7;83.0;406.0
La Paila;2011-01-01;30.6;18.1;81.0;449.0
Bugalagrande;2011-01-02;30.7;19.5;85.0;463.0
La Paila;2011-01-02;30.7;18.7;84.0;450.0
Bugalagrande;2011-01-03;30.5;17.5;82.0;536.0
La Paila;2011-01-03;29.3;16.5;80.0;394.0
Bugalagrande;2011-01-04;26.7;18.9;90.0;281.0
La Paila;2011-01-04;25.9;18.1;89.0;226.0
Bugalagrande;2011-01-05;29.4;17.8;91.0;388.0
La Paila;2011-01-05;29.1;17.7;90.0;338.0
Bugalagrande;2011-01-06;30.1;18.0;85.0;478.0
La Paila;2011-01-06;29.4;16.9;82.0;443.0
Bugalagrande;2011-01-07;28.1;18.7;91.0;462.0
La Paila;2011-01-07;26.6;18.4;90.0;287.0
Bugalagrande;2011-01-08;28.3;18.6;87.0;310.0
La Paila;2011-01-08;27.4;18.3;87.0;259.0
Bugalagrande;2011-01-09;29.4;18.8;92.0;295.0
La Paila;2011-01-09;28.9;18.4;90.0;306.0
Bugalagrande;2011-01-10;29.6;18.3;90.0;376.0
La Paila;2011-01-10;29.1;17.8;87.0;353.0
Bugalagrande;2011-01-11;30.6;19.3;86.0;270.0
La Paila;2011-01-11;30.6;18.4;81.0;443.0
Bugalagrande;2011-01-12;32.8;18.3;82.0;362.0
La Paila;2011-01-12;31.0;18.0;80.0;424.0
Bugalagrande;2011-01-13;29.9;19.2;87.0;346.0
La Paila;2011-01-13;29.7;18.4;83.0;338.0
Bugalagrande;2011-01-14;33.4;19.9;81.0;547.0
La Paila;2011-01-14;30.9;18.6;81.0;438.0
Bugalagrande;2011-01-15;31.9;18.3;82.0;339.0
La Paila;2011-01-15;31.7;17.5;80.0;374.0
Bugalagrande;2011-01-16;29.9;18.7;86.0;356.0
La Paila;2011-01-16;29.0;17.8;85.0;289.0
Bugalagrande;2011-01-17;31.8;18.5;81.0;346.0
La Paila;2011-01-17;30.3;17.7;79.0;393.0
Bugalagrande;2011-01-18;32.1;19.1;81.0;406.0
La Paila;2011-01-18;30.7;18.6;80.0;384.0
Bugalagrande;2011-01-19;30.8;19.4;83.0;369.0
La Paila;2011-01-19;30.8;18.7;82.0;392.0
Bugalagrande;2011-01-20;31.6;19.0;82.0;398.0
La Paila;2011-01-20;30.6;17.7;79.0;428.0
Bugalagrande;2011-01-21;31.2;18.3;81.0;503.0
La Paila;2011-01-21;30.4;18.0;79.0;397.0
Bugalagrande;2011-01-22;31.3;17.5;81.0;502.0
La Paila;2011-01-22;30.6;16.8;79.0;433.0
Bugalagrande;2011-01-23;31.5;16.9;80.0;524.0
La Paila;2011-01-23;30.6;17.0;79.0;384.0
Bugalagrande;2011-01-24;31.7;17.8;80.0;503.0
La Paila;2011-01-24;30.6;16.8;77.0;371.0
Bugalagrande;2011-01-25;31.9;18.8;80.0;532.0
La Paila;2011-01-25;30.1;16.8;76.0;350.0
Bugalagrande;2011-01-26;30.7;18.7;83.0;428.0
La Paila;2011-01-26;29.1;17.6;80.0;320.0
