Coordenada x (long);Coordenada y (lat);Conteo árboles
-76,08842205;4,308582154;1
-76,088422;4,854598;2
-76,088386;4,858210;3
-76,088386;4,854594;4
-76,088349;4,861822;5
-76,088349;4,858206;6
-76,088350;4,854589;7
-76,088350;4,850972;8
-76,088313;4,861818;9
-76,088313;4,858201;10
-76,088314;4,854584;11
-76,088314;4,850967;12
-76,088314;4,847351;13
-76,088277;4,865430;14
-76,088277;4,861813;15
-76,088277;4,858196;16
-76,088277;4,854579;17
-76,088278;4,850963;18
-76,088278;4,847346;19
-76,088241;4,869042;20
-76,088241;4,865425;21
-76,088241;4,861808;22
-76,088241;4,858191;23
-76,088241;4,854575;24
-76,088241;4,850958;25
-76,088242;4,847341;26
-76,088242;4,843725;27
-76,088205;4,869037;28
-76,088205;4,865420;29
-76,088205;4,861804;30
-76,088205;4,858187;31
-76,088205;4,854570;32
-76,088205;4,850953;33
-76,088206;4,847337;34
-76,088206;4,843720;35
-76,088206;4,840103;36
-76,088169;4,872649;37
-76,088169;4,869032;38
-76,088169;4,865416;39
-76,088169;4,861799;40
-76,088169;4,858182;41
-76,088169;4,854565;42
-76,088169;4,850949;43
-76,088169;4,847332;44
-76,088170;4,843715;45
-76,088170;4,840098;46
-76,088133;4,872644;47
-76,088133;4,869028;48
-76,088133;4,865411;49
-76,088133;4,861794;50
-76,088133;4,858177;51
-76,088133;4,854561;52
-76,088133;4,850944;53
-76,088133;4,847327;54
-76,088134;4,843710;55
-76,088134;4,840094;56
-76,088134;4,836477;57
-76,088097;4,876256;58
-76,088097;4,872640;59
-76,088097;4,869023;60
-76,088097;4,865406;61
-76,088097;4,861789;62
-76,088097;4,858173;63
-76,088097;4,854556;64
-76,088097;4,850939;65
-76,088097;4,847323;66
-76,088097;4,843706;67
-76,088098;4,840089;68
-76,088098;4,836472;69
-76,088098;4,832856;70
-76,088061;4,876252;71
-76,088061;4,872635;72
-76,088061;4,869018;73
-76,088061;4,865401;74
-76,088061;4,861785;75
-76,088061;4,858168;76
-76,088061;4,854551;77
-76,088061;4,850935;78
-76,088061;4,847318;79
-76,088061;4,843701;80
-76,088061;4,840084;81
-76,088062;4,836468;82
-76,088062;4,832851;83
-76,088025;4,879864;84
-76,088025;4,876247;85
-76,088025;4,872630;86
-76,088025;4,869014;87
-76,088025;4,865397;88
-76,088025;4,861780;89
-76,088025;4,858163;90
-76,088025;4,854547;91
-76,088025;4,850930;92
-76,088025;4,847313;93
