HACIENDA;PLUV;Fecha;Precipitaci?n (mm);;;
La Luisa 2;207;1/01/2020;0;;;
La Luisa 2;208;1/01/2020;0;;;
La Luisa 2;209;1/01/2020;0;;;
La Luisa 2;210;1/01/2020;0;;;
Zambrano;213;1/01/2020;0;;;
San Carlos;700;1/01/2020;0;;;
La Luisa 1;211;1/01/2020;0;;;
La Luisa 1;212;1/01/2020;1;;;
Lagunas ;214;1/01/2020;1;;;
Lagunas ;215;1/01/2020;1;;;
Paila Arriba;303;1/01/2020;1;;;
Riopaila La Ranchera;304;1/01/2020;0;;;
Riopaila La Pista;305;1/01/2020;3;;;
Riopaila Agricola;417;1/01/2020;1;;;
Mangos;701;1/01/2020;2;;;
Pluviometro Riopaila Agricola ;306;1/01/2020;1;;;
Venecia 1;401;1/01/2020;0;;;
Venecia 2;402;1/01/2020;0;;;
Tequendama ;412;1/01/2020;0;;;
Ukrania Venecia;414;1/01/2020;0;;;
Gertrudis ;503;1/01/2020;3;;;
Gertrudis - Porteria La Gertrudis;504;1/01/2020;0;;;
San Nicolas;505;1/01/2020;1;;;
San Nicolas;506;1/01/2020;2;;;
Valparaiso ;307;1/01/2020;0;;;
Valparaiso ;308;1/01/2020;0;;;
Ukrania Morillo;501;1/01/2020;0;;;
Peralonso El Mateo;403;1/01/2020;0;;;
Peralonso ;404;1/01/2020;0;;;
1/2 Luna Caseta Caida ;411;1/01/2020;0;;;
Peralonso Los Chivos;405;1/01/2020;0;;;
Normandia;406;1/01/2020;2;;;
Normandia - Duran;407;1/01/2020;0;;;
Normandia;408;1/01/2020;0;;;
Normandia - Estacion Drenaje;409;1/01/2020;1;;;
Morillo ;502;1/01/2020;0;;;
Morillo ;502;2/01/2020;0;;;
La Luisa 2;207;2/01/2020;0;;;
La Luisa 2;208;2/01/2020;0;;;
La Luisa 2;209;2/01/2020;0;;;
La Luisa 2;210;2/01/2020;0;;;
Zambrano;213;2/01/2020;0;;;
San Carlos;700;2/01/2020;0;;;
La Luisa 1;211;2/01/2020;0;;;
La Luisa 1;212;2/01/2020;0;;;
Lagunas ;214;2/01/2020;0;;;
Lagunas ;215;2/01/2020;0;;;
Paila Arriba;303;2/01/2020;0;;;
Riopaila La Ranchera;304;2/01/2020;0;;;
Riopaila La Pista;305;2/01/2020;0;;;
Riopaila Agricola;417;2/01/2020;0;;;
Mangos;701;2/01/2020;0;;;
Pluviometro Riopaila Agricola ;306;2/01/2020;0;;;
Venecia 1;401;2/01/2020;0;;;
Venecia 2;402;2/01/2020;0;;;
Tequendama ;412;2/01/2020;0;;;
Ukrania Venecia;414;2/01/2020;0;;;
Gertrudis ;503;2/01/2020;0;;;
Gertrudis - Porteria La Gertrudis;504;2/01/2020;0;;;
